LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,31,0,0,0,0,0,30.0,0.0,30.0,3.6620890426593573,300.4925730422517,89.28507102200727,0.0,2.7675323258813336,10.428287739480027,0.0,2.3294628929214842,2.1030260811999972,13.583080230220672,83.02596977644,24.8196359130239,0.0441077539054357,0.1220696347553119,0.04410775390543569,1.071811096917462
Track_1,1,1,7,0,0,0,0,0,6.0,0.0,6.0,11.654805485946149,406.9106075893938,95.50132481382198,0.0,2.6930642240079115,4.3250545408868675,1.2280965057560864,2.84588987908122,1.3246655872978295,12.221897670200892,16.158385344047467,11.654805485946149,0.7212852793017233,1.9424675809910248,0.7212852793017231,1.3680770025839928
Track_2,2,2,31,0,0,0,0,0,30.0,0.0,30.0,9.56508519689753,660.0699260651498,90.41404138189611,0.0,3.9036669630519447,9.191124438244637,0.0,3.345484011288586,2.242744252968189,11.73956057333177,117.11000889155832,17.52193064763373,0.0816760692568525,0.31883617322991764,0.08167606925685249,0.8902647594930663
Track_3,3,3,31,0,0,0,0,0,30.0,0.0,30.0,92.9716906893993,1057.373202699468,119.23156799657441,0.0,5.235398869715758,8.731878365770628,0.0,5.517012502495759,2.4892466103977,15.791638697347333,157.06196609147275,92.9716906893993,0.5919427408367769,3.09905635631331,0.591942740836777,0.5166858900141122
Track_4,4,4,8,0,0,0,0,0,7.0,0.0,7.0,3.4775937446394445,1130.5528703074626,98.88247469167119,0.0,2.13335797584564,3.4775937446394445,0.17550548373657981,2.23606797749979,1.0096266983523157,12.28797471523285,14.93350583091948,3.4775937446394445,0.2328718911696654,0.4967991063770635,0.23287189116966536,1.0685465048871794
Track_5,5,5,31,0,0,0,0,0,30.0,0.0,30.0,12.314237015238378,132.4471653223562,88.53925892090061,0.0,2.8528896173199376,10.380256392207219,0.0,2.4219582809949443,2.3420008818906473,11.649605243436751,85.58668851959814,18.976342524894545,0.14388028358427013,0.4104745671746126,0.14388028358427016,1.0380760867464807
Track_6,6,6,23,0,0,0,0,0,22.0,0.0,22.0,3.9242511293128937,159.48788713699219,96.24471584709693,0.0,2.7724107788298875,7.043702400482586,0.4633749953642239,2.6400047745238706,1.8963371923102306,13.08510162519372,60.99303713425754,19.083729251834402,0.06433932976111442,0.17837505133240425,0.06433932976111444,0.7745233444626485
