LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,15,0,0,0,0,0,14.0,0.0,14.0,22.18771436313478,7.420505929351579,95.44664158058471,0.0,2.8256903148033303,5.09435583370401,0.5585697249774348,2.8003572526658753,1.0871419089352208,14.347662417093913,39.55966440724662,22.18771436313478,0.560867102782358,1.584836740223913,0.560867102782358,0.9163395591650356
Track_1,1,1,29,1,0,0,0,1,29.0,0.0,29.0,2.003764476666096,226.43536238823484,93.9325118580817,0.0,3.667314881920499,6.676278546288117,1.0089579985968364,3.4044272948065197,1.7842599218634676,13.091764203433332,105.96390454726226,38.03647555453925,0.018909877710030703,0.06909532678158951,0.01884084923337853,0.5413179222227723
Track_2,2,2,30,0,0,0,0,0,29.0,0.0,29.0,11.635475135799409,264.3624533663519,94.45197387973957,0.0,4.420337837378659,8.874371065249019,0.9316911664355223,4.609057123106852,1.8317490335988413,12.604105154673258,128.1897972839811,47.042674908664736,0.0907675601516331,0.4012232805448072,0.0907675601516331,0.7548238341589119
Track_3,3,3,30,0,0,0,0,0,29.0,0.0,29.0,14.437102787059402,290.79305682425667,99.33137136085756,0.0,5.067519511647596,8.740047847875818,1.4618103725822764,4.782243423890349,2.2305331823776138,13.109228801727294,146.9580658377803,51.88405548275973,0.0982396080457115,0.49783113058825523,0.09823960804571151,0.5833957906712967
Track_4,4,4,24,0,0,0,0,0,23.0,0.0,23.0,71.10562033259778,400.2960411315596,100.7408640448895,0.0,4.5637167463242765,8.865477768871248,0.34384862728508103,5.1173190083672795,2.6364210656916627,15.951196312904358,104.96548516545835,71.10562033259778,0.6774190603750666,3.091548710112947,0.6774190603750665,0.5077825286694326
Track_5,5,5,30,0,0,0,0,0,29.0,0.0,29.0,21.911270921407812,16.39264928817442,97.7109563468737,0.0,3.1999435846525004,7.1543935258032425,0.3894103684806143,2.975469445558399,1.7582285407039393,14.109888331095378,92.79836395492252,30.682113265111926,0.23611699589931748,0.7555610662554418,0.2361169958993175,0.7731886010694232
Track_6,6,6,15,0,0,0,0,0,14.0,0.0,14.0,7.337456148019856,116.5003100617741,87.96045632264146,0.0,3.3044892342980163,5.71566400084983,1.5506725357884887,3.4680808990222727,1.294317173373404,14.472583134969076,46.26284928017224,14.009830045507046,0.15860363687466633,0.5241040105728468,0.15860363687466636,0.7542378864067617
